
============================================
    VERIFFICATION OF FULL ADDER STARTED
============================================
[MONITOR] a=0 b=0 cin=0 | sum=0 cout=0
[MONITOR] a=1 b=1 cin=0 | sum=0 cout=1
[MONITOR] a=0 b=0 cin=1 | sum=1 cout=0
[MONITOR] a=1 b=0 cin=1 | sum=0 cout=1
[MONITOR] a=1 b=0 cin=1 | sum=0 cout=1
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=0 cin=1 | sum=0 cout=1
[MONITOR] a=0 b=1 cin=1 | sum=0 cout=1
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=1 cin=0 | sum=0 cout=1
[MONITOR] a=0 b=1 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=1 cin=1 | sum=1 cout=1
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=0 b=1 cin=1 | sum=0 cout=1
[MONITOR] a=1 b=0 cin=1 | sum=0 cout=1
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=0 b=0 cin=1 | sum=1 cout=0
[MONITOR] a=1 b=1 cin=1 | sum=1 cout=1
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=0 b=0 cin=1 | sum=1 cout=0
[MONITOR] a=0 b=1 cin=0 | sum=1 cout=0
[MONITOR] a=0 b=0 cin=0 | sum=0 cout=0
[MONITOR] a=1 b=0 cin=1 | sum=0 cout=1
[MONITOR] a=0 b=0 cin=0 | sum=0 cout=0
[MONITOR] a=0 b=1 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=0 cin=1 | sum=0 cout=1
[MONITOR] a=0 b=1 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=0 b=1 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=1 cin=1 | sum=1 cout=1
[MONITOR] a=0 b=1 cin=1 | sum=0 cout=1
[MONITOR] a=1 b=1 cin=1 | sum=1 cout=1
[MONITOR] a=1 b=1 cin=0 | sum=0 cout=1
[MONITOR] a=1 b=1 cin=0 | sum=0 cout=1
[MONITOR] a=0 b=1 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=0 b=1 cin=1 | sum=0 cout=1
[MONITOR] a=0 b=1 cin=1 | sum=0 cout=1
[MONITOR] a=0 b=0 cin=1 | sum=1 cout=0
[MONITOR] a=0 b=0 cin=1 | sum=1 cout=0
[MONITOR] a=0 b=0 cin=1 | sum=1 cout=0
[MONITOR] a=0 b=0 cin=0 | sum=0 cout=0
[MONITOR] a=1 b=0 cin=1 | sum=0 cout=1
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=0 b=0 cin=0 | sum=0 cout=0
[MONITOR] a=0 b=1 cin=0 | sum=1 cout=0
[MONITOR] a=0 b=1 cin=1 | sum=0 cout=1
[MONITOR] a=1 b=1 cin=1 | sum=1 cout=1
[MONITOR] a=0 b=0 cin=1 | sum=1 cout=0
[MONITOR] a=0 b=1 cin=0 | sum=1 cout=0
[MONITOR] a=0 b=1 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=0 cin=1 | sum=0 cout=1
[MONITOR] a=0 b=1 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=0 cin=1 | sum=0 cout=1
[MONITOR] a=0 b=0 cin=0 | sum=0 cout=0
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=0 b=1 cin=1 | sum=0 cout=1
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=1 b=1 cin=1 | sum=1 cout=1
[MONITOR] a=1 b=0 cin=0 | sum=1 cout=0
[MONITOR] a=0 b=0 cin=0 | sum=0 cout=0
[MONITOR] a=1 b=0 cin=1 | sum=0 cout=1
[MONITOR] a=0 b=0 cin=1 | sum=1 cout=0
[MONITOR] a=0 b=0 cin=1 | sum=1 cout=0
[MONITOR] a=0 b=1 cin=1 | sum=0 cout=1
